epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,70.4443,0.91135,1.16435,1.23988,0.80735,0.83333,0.9003,0.5937,1.24848,1.2961,1.31972,0.0003664,0.0003664,0.0003664
66,71.3982,0.87138,1.10514,1.14125,0.78868,0.83333,0.91182,0.62865,1.26116,1.26417,1.33162,0.0003565,0.0003565,0.0003565
67,72.36,1.07258,1.19938,1.20018,0.78868,0.83333,0.91182,0.62865,1.26116,1.26417,1.33162,0.0003466,0.0003466,0.0003466
68,73.3404,1.08783,1.38569,1.40508,0.80732,0.77778,0.90309,0.63136,1.24005,1.22961,1.33191,0.0003367,0.0003367,0.0003367
69,74.2845,0.98281,1.22751,1.18476,0.80732,0.77778,0.90309,0.63136,1.24005,1.22961,1.33191,0.0003268,0.0003268,0.0003268
70,75.2404,0.83127,1.19639,1.1348,0.87699,0.80556,0.94659,0.62406,1.22287,1.2011,1.32726,0.0003169,0.0003169,0.0003169
71,76.1997,1.06731,1.45797,1.23986,0.87699,0.80556,0.94659,0.62406,1.22287,1.2011,1.32726,0.000307,0.000307,0.000307
72,77.1916,0.90601,1.17342,1.21427,0.81755,0.83333,0.9569,0.64819,1.16901,1.14506,1.28463,0.0002971,0.0002971,0.0002971
73,78.1661,1.01426,1.38874,1.28943,0.81755,0.83333,0.9569,0.64819,1.16901,1.14506,1.28463,0.0002872,0.0002872,0.0002872
74,79.1426,1.03274,1.26038,1.24528,0.75048,0.91667,0.96317,0.6476,1.13841,1.12553,1.29652,0.0002773,0.0002773,0.0002773
75,80.1178,0.96644,1.27656,1.20833,0.75048,0.91667,0.96317,0.6476,1.13841,1.12553,1.29652,0.0002674,0.0002674,0.0002674
76,81.0916,0.98298,1.30817,1.2425,0.73681,0.75222,0.95587,0.6298,1.14022,1.11911,1.33544,0.0002575,0.0002575,0.0002575
77,82.0117,0.95876,1.29705,1.23983,0.73681,0.75222,0.95587,0.6298,1.14022,1.11911,1.33544,0.0002476,0.0002476,0.0002476
78,82.9781,0.90393,1.06892,1.17724,0.75468,0.77545,0.94616,0.61319,1.18559,1.0982,1.38715,0.0002377,0.0002377,0.0002377
